algorithm,key_generation_ms,encapsulation_ms,decapsulation_ms,exchange_ms,public_key_size,private_key_size,ciphertext_size,shared_secret_size,success,iteration
ML-KEM-768,1.0817499132826924,0.9530419483780861,1.5356659423559904,2.4887078907340765,1184,2400,1088,32,True,1
ML-KEM-768,0.23141701240092516,0.32962497789412737,0.4344580229371786,0.764083000831306,1184,2400,1088,32,True,2
ML-KEM-768,1.9083749502897263,0.3987500676885247,0.5559579003602266,0.9547079680487514,1184,2400,1088,32,True,3
ML-KEM-768,0.4076249897480011,0.32074993941932917,0.4391249967738986,0.7598749361932278,1184,2400,1088,32,True,4
ML-KEM-768,0.21670793648809195,0.31150004360824823,0.37174997851252556,0.6832500221207738,1184,2400,1088,32,True,5
ML-KEM-768,0.21774997003376484,0.31229096930474043,0.43158303014934063,0.7438739994540811,1184,2400,1088,32,True,6
ML-KEM-768,0.22087502293288708,0.31166698317974806,0.3751249751076102,0.6867919582873583,1184,2400,1088,32,True,7
ML-KEM-768,0.2163329627364874,0.3732499899342656,0.6941249594092369,1.0673749493435025,1184,2400,1088,32,True,8
ML-KEM-768,0.22741605062037706,0.31387503258883953,0.3535000141710043,0.6673750467598438,1184,2400,1088,32,True,9
ML-KEM-768,0.2038750099018216,0.29216695111244917,0.3499590093269944,0.6421259604394436,1184,2400,1088,32,True,10
ML-KEM-768,0.20345894154161215,0.5180420121178031,0.4707910120487213,0.9888330241665244,1184,2400,1088,32,True,11
ML-KEM-768,0.23091607727110386,0.3101250622421503,0.36470789927989244,0.6748329615220428,1184,2400,1088,32,True,12
ML-KEM-768,0.21058297716081142,0.31162495724856853,0.37820800207555294,0.6898329593241215,1184,2400,1088,32,True,13
ML-KEM-768,0.21433294750750065,0.4397080047056079,0.3742090193554759,0.8139170240610838,1184,2400,1088,32,True,14
ML-KEM-768,0.20104192662984133,0.30575005803257227,0.36041694693267345,0.6661670049652457,1184,2400,1088,32,True,15
ML-KEM-768,0.3123750211670995,0.30791701283305883,0.363666913472116,0.6715839263051748,1184,2400,1088,32,True,16
ML-KEM-768,0.20574999507516623,0.4333329852670431,2.2861670004203916,2.7194999856874347,1184,2400,1088,32,True,17
ML-KEM-768,0.5015000933781266,0.9272909956052899,1.215082942508161,2.142373938113451,1184,2400,1088,32,True,18
ML-KEM-768,0.6395420059561729,0.8314999286085367,0.6993330316618085,1.5308329602703452,1184,2400,1088,32,True,19
ML-KEM-768,0.24887500330805779,0.4058750346302986,0.49229105934500694,0.8981660939753056,1184,2400,1088,32,True,20
ML-KEM-768,0.22287503816187382,0.31262508127838373,0.37333404179662466,0.6859591230750084,1184,2400,1088,32,True,21
ML-KEM-768,0.21308299619704485,0.30566705390810966,0.36874995566904545,0.6744170095771551,1184,2400,1088,32,True,22
ML-KEM-768,0.2124159364029765,0.35745801869779825,0.39499998092651367,0.7524579996243119,1184,2400,1088,32,True,23
ML-KEM-768,0.24349999148398638,0.33316691406071186,0.456875073723495,0.7900419877842069,1184,2400,1088,32,True,24
ML-KEM-768,0.22249994799494743,0.3108750097453594,0.3707919968292117,0.6816670065745711,1184,2400,1088,32,True,25
ML-KEM-768,0.21487497724592686,0.3070830134674907,0.3684170078486204,0.6755000213161111,1184,2400,1088,32,True,26
ML-KEM-768,0.21429196931421757,0.30883296858519316,0.367332948371768,0.6761659169569612,1184,2400,1088,32,True,27
ML-KEM-768,0.21437497343868017,0.3059590235352516,0.3802499268203974,0.686208950355649,1184,2400,1088,32,True,28
ML-KEM-768,0.25458389427512884,0.32195798121392727,0.37104205694049597,0.6930000381544232,1184,2400,1088,32,True,29
ML-KEM-768,0.20883302204310894,0.2970000496134162,0.3566660452634096,0.6536660948768258,1184,2400,1088,32,True,30
ML-KEM-768,0.20566699095070362,0.2963339211419225,0.3557089949026704,0.6520429160445929,1184,2400,1088,32,True,31
ML-KEM-768,0.21120801102370024,0.3084160853177309,0.3634580643847585,0.6718741497024894,1184,2400,1088,32,True,32
ML-KEM-768,0.21412502974271774,0.42162497993558645,0.39491697680205107,0.8165419567376375,1184,2400,1088,32,True,33
ML-KEM-768,0.21525006741285324,0.35516603384166956,0.36879198160022497,0.7239580154418945,1184,2400,1088,32,True,34
ML-KEM-768,0.20662497263401747,0.2962920116260648,0.35662506707012653,0.6529170786961913,1184,2400,1088,32,True,35
ML-KEM-768,0.2044999273493886,0.29491703025996685,0.35416707396507263,0.6490841042250395,1184,2400,1088,32,True,36
ML-KEM-768,0.20458304788917303,0.2942909486591816,0.36629196256399155,0.6605829112231731,1184,2400,1088,32,True,37
ML-KEM-768,0.21312502212822437,0.3073749830946326,0.5732499994337559,0.8806249825283885,1184,2400,1088,32,True,38
ML-KEM-768,0.4053330048918724,0.3210419090464711,0.40666700806468725,0.7277089171111584,1184,2400,1088,32,True,39
ML-KEM-768,0.22124999668449163,0.3891669912263751,0.47316704876720905,0.8623340399935842,1184,2400,1088,32,True,40
ML-KEM-768,0.22079201880842447,0.3666250267997384,0.3684170078486204,0.7350420346483588,1184,2400,1088,32,True,41
ML-KEM-768,0.21716603077948093,0.35029195714741945,0.3887079656124115,0.738999922759831,1184,2400,1088,32,True,42
ML-KEM-768,0.2202920150011778,0.3107090014964342,0.3676250344142318,0.678334035910666,1184,2400,1088,32,True,43
ML-KEM-768,0.20970904733985662,0.301833963021636,0.39075000677257776,0.6925839697942138,1184,2400,1088,32,True,44
ML-KEM-768,0.284082954749465,0.3412499791011214,0.4208330065011978,0.7620829856023192,1184,2400,1088,32,True,45
ML-KEM-768,0.21679094061255455,0.3073749830946326,0.3999159671366215,0.7072909502312541,1184,2400,1088,32,True,46
ML-KEM-768,0.21741597447544336,0.3084170166403055,0.36579195875674486,0.6742089753970504,1184,2400,1088,32,True,47
ML-KEM-768,0.20700006280094385,0.2960000419989228,0.3553749993443489,0.6513750413432717,1184,2400,1088,32,True,48
ML-KEM-768,0.20762509666383266,0.30266609974205494,0.3647090634331107,0.6673751631751657,1184,2400,1088,32,True,49
ML-KEM-768,0.23433298338204622,0.31625002156943083,0.36149995867162943,0.6777499802410603,1184,2400,1088,32,True,50
ML-KEM-768,0.21654204465448856,0.3086249344050884,0.35787501838058233,0.6664999527856708,1184,2400,1088,32,True,51
ML-KEM-768,0.20725000649690628,0.29812497086822987,0.36808394361287355,0.6662089144811034,1184,2400,1088,32,True,52
ML-KEM-768,0.2114999806508422,0.3004589816555381,0.3688749857246876,0.6693339673802257,1184,2400,1088,32,True,53
ML-KEM-768,0.20825001411139965,0.30095805414021015,0.35841704811900854,0.6593751022592187,1184,2400,1088,32,True,54
ML-KEM-768,0.21029205527156591,0.30554202385246754,0.46808295883238316,0.7736249826848507,1184,2400,1088,32,True,55
