algorithm,key_generation_ms,encapsulation_ms,decapsulation_ms,exchange_ms,public_key_size,private_key_size,ciphertext_size,shared_secret_size,success,iteration
RSA-2048,92.84945903345942,0.11045800056308508,2.1407909225672483,2.2512489231303334,294,1217,256,32,True,25
RSA-2048,26.212166994810104,0.0879999715834856,2.1636669989675283,2.251666970551014,294,1217,256,32,True,26
RSA-2048,86.757457931526,0.08091703057289124,2.1514580585062504,2.2323750890791416,294,1216,256,32,True,27
RSA-2048,78.14062491524965,0.09129103273153305,2.123583108186722,2.214874140918255,294,1217,256,32,True,28
RSA-2048,106.87662498094141,0.08283299393951893,2.135041984729469,2.2178749786689878,294,1216,256,32,True,29
RSA-2048,27.91679196525365,0.06195809692144394,2.0960409892722964,2.1579990861937404,294,1217,256,32,True,30
RSA-2048,172.57933400105685,0.09324995335191488,2.139125019311905,2.23237497266382,294,1217,256,32,True,31
RSA-2048,69.70941589679569,0.11604197788983583,2.182499971240759,2.2985419491305947,294,1217,256,32,True,32
RSA-2048,25.661082938313484,0.06562506314367056,2.08883301820606,2.1544580813497305,294,1217,256,32,True,33
RSA-2048,43.156125000678,0.09066704660654068,2.087416942231357,2.1780839888378978,294,1217,256,32,True,34
RSA-2048,53.08774998411536,0.06729189772158861,2.1368750603869557,2.2041669581085443,294,1217,256,32,True,35
RSA-2048,130.1322920480743,0.11404103133827448,2.1645419765263796,2.278583007864654,294,1218,256,32,True,36
RSA-2048,33.69329194538295,0.08345802780240774,2.1528330398723483,2.236291067674756,294,1217,256,32,True,37
RSA-2048,43.636417016386986,0.09858293924480677,2.132207970134914,2.2307909093797207,294,1216,256,32,True,38
RSA-2048,46.89237498678267,0.093833077698946,2.1618750179186463,2.2557080956175923,294,1218,256,32,True,39
RSA-2048,40.845375042408705,0.09008299093693495,2.245167037472129,2.335250028409064,294,1217,256,32,True,40
RSA-2048,136.39233307912946,0.1041659852489829,2.215083921328187,2.31924990657717,294,1215,256,32,True,41
RSA-2048,122.73783306591213,0.09087496437132359,2.1287909476086497,2.2196659119799733,294,1217,256,32,True,42
RSA-2048,108.42941689770669,0.08512497879564762,2.1216670284047723,2.20679200720042,294,1217,256,32,True,43
RSA-2048,92.01587492134422,0.09104202035814524,2.1924999309703708,2.283541951328516,294,1218,256,32,True,44
