algorithm,metric,runs,mean_ms,median_ms,stddev_ms,minimum_ms,maximum_ms
ML-KEM-768,key_generation_ms,1000,0.2097745267674327,0.20041648531332612,0.06549999719886929,0.19558402709662914,1.9083749502897263
ML-KEM-768,encapsulation_ms,1000,0.29839131189510226,0.28860452584922314,0.04039015292258455,0.2829580334946513,0.9530419483780861
ML-KEM-768,decapsulation_ms,1000,0.3611182355089113,0.3469999646767974,0.0823807922105027,0.3404580056667328,2.2861670004203916
ML-KEM-768,exchange_ms,1000,0.6595095474040136,0.6367294699884951,0.11150090503689505,0.6240829825401306,2.7194999856874347
RSA-2048,key_generation_ms,1000,79.70465786557179,67.88400001823902,48.0853026787467,12.797874980606139,311.2532499944791
RSA-2048,encapsulation_ms,1000,0.08715485723223537,0.08689600508660078,0.022507608616799582,0.06004096940159798,0.5197920836508274
RSA-2048,decapsulation_ms,1000,2.188628818606958,2.1528954966925085,0.3773147352099509,2.0805830135941505,12.432083953171968
RSA-2048,exchange_ms,1000,2.275783675839193,2.2382495226338506,0.3917502050363788,2.146082930266857,12.951876036822796
ECDH-P256,key_generation_ms,1000,0.035559238167479634,0.0333334319293499,0.012656616802812623,0.0326669542118907,0.3678329521790147
ECDH-P256,encapsulation_ms,1000,0.12415951571892947,0.11999998241662979,0.012762164020031556,0.11912500485777855,0.28516596648842096
ECDH-P256,decapsulation_ms,1000,0.01762441953178495,0.01635449007153511,0.004992023317510029,0.01566589344292879,0.07033301517367363
ECDH-P256,exchange_ms,1000,0.14178393525071442,0.13662490528076887,0.01639392402085107,0.13504200614988804,0.3433750243857503
