algorithm,metric,runs,mean_ms,median_ms,stddev_ms,minimum_ms,maximum_ms
ECDH-P256,key_generation_ms,1000,0.035559238167479634,0.0333334319293499,0.012656616802812623,0.0326669542118907,0.3678329521790147
ECDH-P256,encapsulation_ms,1000,0.12415951571892947,0.11999998241662979,0.012762164020031556,0.11912500485777855,0.28516596648842096
ECDH-P256,decapsulation_ms,1000,0.01762441953178495,0.01635449007153511,0.004992023317510029,0.01566589344292879,0.07033301517367363
ECDH-P256,exchange_ms,1000,0.14178393525071442,0.13662490528076887,0.01639392402085107,0.13504200614988804,0.3433750243857503
