algorithm,key_generation_ms,encapsulation_ms,decapsulation_ms,exchange_ms,public_key_size,private_key_size,ciphertext_size,shared_secret_size,success,iteration
ECDH-P256,0.03662507515400648,0.12733391486108303,0.01733400858938694,0.14466792345046997,91,138,48,32,True,18
ECDH-P256,0.03529095556586981,0.12933299876749516,0.01816696021705866,0.14749995898455381,91,138,48,32,True,19
ECDH-P256,0.03674998879432678,0.12983300257474184,0.018000020645558834,0.14783302322030067,91,138,48,32,True,20
ECDH-P256,0.03445800393819809,0.1252500806003809,0.0177919864654541,0.143042067065835,91,138,48,32,True,21
ECDH-P256,0.036499928683042526,0.128875020891428,0.01937500201165676,0.14825002290308475,91,138,48,32,True,22
ECDH-P256,0.03754207864403725,0.1301249722018838,0.017666956409811974,0.14779192861169577,91,138,48,32,True,23
ECDH-P256,0.0363748986274004,0.12845895253121853,0.0177919864654541,0.14625093899667263,91,138,48,32,True,24
ECDH-P256,0.0374580267816782,0.1289580250158906,0.017875107005238533,0.14683313202112913,91,138,48,32,True,25
ECDH-P256,0.036375015042722225,0.12558302842080593,0.016583013348281384,0.14216604176908731,91,138,48,32,True,26
ECDH-P256,0.033958000130951405,0.1206250162795186,0.01637497916817665,0.13699999544769526,91,138,48,32,True,27
ECDH-P256,0.033542048186063766,0.12091593816876411,0.016417005099356174,0.1373329432681203,91,138,48,32,True,28
ECDH-P256,0.03370794001966715,0.1251670764759183,0.01733400858938694,0.14250108506530523,91,138,48,32,True,29
ECDH-P256,0.03566697705537081,0.12800004333257675,0.01737498678267002,0.14537503011524677,91,138,48,32,True,30
ECDH-P256,0.035375007428228855,0.12024992611259222,0.016583013348281384,0.1368329394608736,91,138,48,32,True,31
ECDH-P256,0.034541008062660694,0.1230000052601099,0.016542035154998302,0.1395420404151082,91,138,48,32,True,32
ECDH-P256,0.03379094414412975,0.12154201976954937,0.016291975043714046,0.13783399481326342,91,138,48,32,True,33
ECDH-P256,0.03345799632370472,0.12129195965826511,0.016834004782140255,0.13812596444040537,91,138,48,32,True,34
ECDH-P256,0.03350002225488424,0.12404192239046097,0.01720909494906664,0.1412510173395276,91,138,48,32,True,35
ECDH-P256,0.036458950489759445,0.12612505815923214,0.018499908037483692,0.14462496619671583,91,138,48,32,True,36
ECDH-P256,0.037375022657215595,0.14708295930176973,0.028999987989664078,0.1760829472914338,91,138,48,32,True,37
ECDH-P256,0.04249997437000275,0.12462504673749208,0.0190419377759099,0.14366698451340199,91,138,48,32,True,38
ECDH-P256,0.035415985621511936,0.12170802801847458,0.017874990589916706,0.13958301860839128,91,138,48,32,True,39
ECDH-P256,0.03470794763416052,0.17845805268734694,0.020124949514865875,0.1985830022022128,91,138,48,32,True,40
ECDH-P256,0.3678329521790147,0.13762502931058407,0.025791930966079235,0.1634169602766633,91,138,48,32,True,41
ECDH-P256,0.043625012040138245,0.1295830588787794,0.017666956409811974,0.14725001528859138,91,138,48,32,True,42
ECDH-P256,0.03583403304219246,0.12745906133204699,0.018166028894484043,0.14562509022653103,91,138,48,32,True,43
ECDH-P256,0.03774999640882015,0.19929197151213884,0.023333937861025333,0.22262590937316418,91,138,48,32,True,44
ECDH-P256,0.03741693217307329,0.12612505815923214,0.018291990272700787,0.14441704843193293,91,138,48,32,True,45
ECDH-P256,0.03491598181426525,0.12945802882313728,0.01954101026058197,0.14899903908371925,91,138,48,32,True,46
ECDH-P256,0.036291894502937794,0.12866605538874865,0.01662492286413908,0.14529097825288773,91,138,48,32,True,47
ECDH-P256,0.03383297007530928,0.1215840457007289,0.01637497916817665,0.13795902486890554,91,138,48,32,True,48
ECDH-P256,0.03412493970245123,0.1247910549864173,0.01695798709988594,0.14174904208630323,91,138,48,32,True,49
ECDH-P256,0.034334021620452404,0.12112502008676529,0.01679197885096073,0.13791699893772602,91,138,48,32,True,50
ECDH-P256,0.03374996595084667,0.12262503150850534,0.01666706521064043,0.13929209671914577,91,138,48,32,True,51
ECDH-P256,0.03362505231052637,0.12350000906735659,0.016709091141819954,0.14020910020917654,91,138,48,32,True,52
ECDH-P256,0.034125056117773056,0.12320792302489281,0.0177919864654541,0.1409999094903469,91,138,48,32,True,53
ECDH-P256,0.03683299291878939,0.1230419147759676,0.018457998521625996,0.1414999132975936,91,138,48,32,True,54
ECDH-P256,0.03491691313683987,0.16125000547617674,0.019749975763261318,0.18099998123943806,91,138,48,32,True,55
ECDH-P256,0.035792007111012936,0.12316706124693155,0.016249949112534523,0.13941701035946608,91,138,48,32,True,56
ECDH-P256,0.03599992487579584,0.12550002429634333,0.016290927305817604,0.14179095160216093,91,138,48,32,True,57
ECDH-P256,0.03395788371562958,0.1206250162795186,0.016542035154998302,0.1371670514345169,91,138,48,32,True,58
ECDH-P256,0.03487500362098217,0.12129195965826511,0.0160830095410347,0.1373749691992998,91,138,48,32,True,59
ECDH-P256,0.03520806785672903,0.1402080524712801,0.023708096705377102,0.1639161491766572,91,138,48,32,True,60
